,tactic_href,Overall WIN %,Overall LOSS %,Overall DRAW %,Overall POINTS PER GAME,Overall MATCHES WON,Overall MATCHES LOST,Overall MATCHES DRAW,Overall TOTAL POINTS,Overall GOAL SCORED,Overall GOAL PER MATCH,Overall GOAL CONCEDED,Overall CONCEDED PER MATCH,Overall GOAL DIFFERENCE,Subtop WIN %,Subtop LOSS %,Subtop DRAW %,Subtop POINTS PER GAME,Subtop MATCHES WON,Subtop MATCHES LOST,Subtop MATCHES DRAW,Subtop TOTAL POINTS,Subtop GOAL SCORED,Subtop GOAL PER MATCH,Subtop GOAL CONCEDED,Subtop CONCEDED PER MATCH,Subtop GOAL DIFFERENCE,Underdog WIN %,Underdog LOSS %,Underdog DRAW %,Underdog POINTS PER GAME,Underdog MATCHES WON,Underdog MATCHES LOST,Underdog MATCHES DRAW,Underdog TOTAL POINTS,Underdog GOAL SCORED,Underdog GOAL PER MATCH,Underdog GOAL CONCEDED,Underdog CONCEDED PER MATCH,Underdog GOAL DIFFERENCE,download_href,Author,Name,Formation,Game Version,Date Tested
474,https://beta.fm-base.co.uk/tactics/22.4.1/arnolds-masterpiece-4-3-1-2-borrusia-mongladbach-bundesliga-title-first-season-with-90pts-569564-5860,33.13,46.25,20.63,1.20,53,74,33,192,230,1.44,280,1.75,-50,47.50,33.75,18.75,1.61,38,27,15,129,127,1.59,112,1.40,15,18.75,58.75,22.50,0.79,15,47,18,63,103,1.29,168,2.10,-65,https://fm-base.co.uk/resources/5860/download?file=569564,magicnut,🔥 Arnold's Masterpiece 4-3-1-2 Borrusia Mongladbach 🏆Bundesliga title First Season with 90pts.,4-3-1-2,22.4.1,13 December 2021
475,https://beta.fm-base.co.uk/tactics/22.4.1/4-3-2-1-a-symmetric-attack-587438-6370,31.87,43.75,24.38,1.20,51,70,39,192,242,1.51,283,1.77,-41,45.00,33.75,21.25,1.56,36,27,17,125,137,1.71,109,1.36,28,18.75,53.75,27.50,0.84,15,43,22,67,105,1.31,174,2.17,-69,https://fm-base.co.uk/resources/6370/download?file=587438,woodzie101,4-3-2-1 A-symmetric attack,4-1-2-2-1,22.4.1,18 May 2022
476,https://beta.fm-base.co.uk/tactics/22.4.1/zagallo-424-tactics-spectacular-footballtactics-inspired-by-the-great-brazilian-coach-569264-5851,33.13,46.88,20.00,1.19,53,75,32,191,284,1.77,307,1.92,-23,56.25,26.25,17.50,1.86,45,21,14,149,178,2.23,107,1.34,71,10.00,67.50,22.50,0.53,8,54,18,42,106,1.32,200,2.50,-94,https://fm-base.co.uk/resources/5851/download?file=569264,themaiden83,"Zagallo 424 Tactics (Spectacular football,tactics inspired by the great Brazilian coach)",4-2-2-2,22.4.1,13 December 2021
477,https://beta.fm-base.co.uk/tactics/22.4.1/the-emperor-fatih-terim-masterclass-tactic-573825-5964,32.50,45.63,21.88,1.19,52,73,35,191,225,1.41,253,1.58,-28,46.25,26.25,27.50,1.66,37,21,22,133,137,1.71,86,1.07,51,18.75,65.00,16.25,0.72,15,52,13,58,88,1.10,167,2.09,-79,https://fm-base.co.uk/resources/5964/download?file=573825,themaiden83,"""The Emperor"" Fatih Terim Masterclass Tactic",4-1-4-1,22.4.1,4 January 2022
478,https://beta.fm-base.co.uk/tactics/22.4.1/thomas-tuchel-fm22-tactic-learn-how-to-create-tuchels-tactics-568445-5823,31.25,43.75,25.00,1.19,50,70,40,190,214,1.34,245,1.53,-31,41.25,31.25,27.50,1.51,33,25,22,121,129,1.61,109,1.36,20,21.25,56.25,22.50,0.86,17,45,18,69,85,1.06,136,1.70,-51,https://fm-base.co.uk/resources/5823/download?file=568445,RDF tactics,Thomas Tuchel FM22 Tactic | Learn how to create Tuchel's Tactics,5-1-1-2-1,22.4.1,13 December 2021
479,https://beta.fm-base.co.uk/tactics/22.4.1/mos-gung-ho-3-2-5-576777-6042,37.50,51.88,10.63,1.23,60,83,17,197,431,2.69,537,3.36,-106,48.75,40.00,11.25,1.57,39,32,9,126,230,2.88,218,2.73,12,26.25,63.75,10.00,0.89,21,51,8,71,201,2.51,319,3.99,-118,https://fm-base.co.uk/resources/6042/download?file=576777,Gung Ho Mo,Mo's Gung Ho 3-2-5,3-2-2-3,22.4.1,21 January 2022
480,https://beta.fm-base.co.uk/tactics/22.4.1/gasperini-atalanta-3-5-2-586360-6283,34.38,46.25,19.38,1.23,55,74,31,196,353,2.21,428,2.67,-75,55.00,23.75,21.25,1.86,44,19,17,149,224,2.80,159,1.99,65,13.75,68.75,17.50,0.59,11,55,14,47,129,1.61,269,3.36,-140,https://fm-base.co.uk/resources/6283/download?file=586360,Piotr Sebastian,Gasperini Atalanta 3-5-2,3-4-1-2,22.4.1,22 April 2022
481,https://beta.fm-base.co.uk/tactics/22.4.1/the-tactic-known-as-chaos-ball-585679-6250,35.63,50.63,13.75,1.21,57,81,22,193,369,2.31,425,2.66,-56,48.75,35.00,16.25,1.63,39,28,13,130,209,2.61,164,2.05,45,22.50,66.25,11.25,0.79,18,53,9,63,160,2.00,261,3.26,-101,https://fm-base.co.uk/resources/6250/download?file=585679,Zakdunst,"The tactic known as ""Chaos-Ball""",4-2-3-1,22.4.1,22 April 2022
482,https://beta.fm-base.co.uk/tactics/22.4.1/1-4-5-gegentaka-586703-6317,34.38,48.75,16.88,1.20,55,78,27,192,446,2.79,514,3.21,-68,48.75,32.50,18.75,1.65,39,26,15,132,252,3.15,197,2.46,55,20.00,65.00,15.00,0.75,16,52,12,60,194,2.42,317,3.96,-123,https://fm-base.co.uk/resources/6317/download?file=586703,APTerminator,1-4-5 Gegentaka,3-2-2-3,22.4.1,22 April 2022
483,https://beta.fm-base.co.uk/tactics/22.4.1/not-quite-a-christmas-tree-4312-used-with-arsenal-567881-5804,33.75,47.50,18.75,1.20,54,76,30,192,258,1.61,319,1.99,-61,51.25,33.75,15.00,1.69,41,27,12,135,154,1.93,127,1.59,27,16.25,61.25,22.50,0.71,13,49,18,57,104,1.30,192,2.40,-88,https://fm-base.co.uk/resources/5804/download?file=567881,NDKennedy,Not quite a Christmas Tree 4312 (Used with Arsenal),4-3-1-2,22.4.1,13 December 2021
484,https://beta.fm-base.co.uk/tactics/22.4.1/dxpthefirst-sarriball-433-577002-6050,33.13,46.25,20.63,1.20,53,74,33,192,231,1.44,282,1.76,-51,46.25,27.50,26.25,1.65,37,22,21,132,145,1.81,112,1.40,33,20.00,65.00,15.00,0.75,16,52,12,60,86,1.07,170,2.13,-84,https://fm-base.co.uk/resources/6050/download?file=577002,DxP_The_First,DxpTheFirst - SarriBall 433,4-1-2-2-1,22.4.1,21 January 2022
485,https://beta.fm-base.co.uk/tactics/22.4.1/positive-5-2-3-wide-custom-direct-counter-attack-588173-6416,31.25,43.13,25.62,1.19,50,69,41,191,192,1.20,263,1.64,-71,43.75,31.25,25.00,1.56,35,25,20,125,107,1.34,91,1.14,16,18.75,55.00,26.25,0.82,15,44,21,66,85,1.06,172,2.15,-87,https://fm-base.co.uk/resources/6416/download?file=588173,chris2for0,Positive 5-2-3 Wide - Custom Direct Counter-Attack,5-2-2-1,22.4.1,18 May 2022
486,https://beta.fm-base.co.uk/tactics/22.4.1/klopps-liverpool-4-3-3-584862-6203,33.13,48.75,18.13,1.18,53,78,29,188,251,1.57,316,1.98,-65,52.50,25.00,22.50,1.80,42,20,18,144,158,1.98,105,1.31,53,13.75,72.50,13.75,0.55,11,58,11,44,93,1.16,211,2.64,-118,https://fm-base.co.uk/resources/6203/download?file=584862,beshion1943,Klopp's Liverpool 4-3-3,4-1-2-2-1,22.4.1,22 April 2022
487,https://beta.fm-base.co.uk/tactics/22.4.1/352-cholismo-diego-pablo-simeone-tactic-571082-5918,33.13,48.75,18.13,1.18,53,78,29,188,234,1.46,277,1.73,-43,45.00,32.50,22.50,1.57,36,26,18,126,142,1.77,114,1.43,28,21.25,65.00,13.75,0.78,17,52,11,62,92,1.15,163,2.04,-71,https://fm-base.co.uk/resources/5918/download?file=571082,themaiden83,"""352 Cholismo"" | Diego Pablo Simeone Tactic",5-1-2-2,22.4.1,17 December 2021
488,https://beta.fm-base.co.uk/tactics/22.4.1/o-c-433-dm-flank-overload-with-tf-580000-6106,31.87,46.88,21.25,1.17,51,75,34,187,218,1.36,286,1.79,-68,45.00,33.75,21.25,1.56,36,27,17,125,126,1.57,106,1.32,20,18.75,60.00,21.25,0.78,15,48,17,62,92,1.15,180,2.25,-88,https://fm-base.co.uk/resources/6106/download?file=580000,me_o_c,o c 433 DM Flank overload with TF,4-1-2-2-1,22.4.1,11 February 2022
489,https://beta.fm-base.co.uk/tactics/22.4.1/5-2-1-2-cut-through-the-center-588739-6453,30.00,43.75,26.25,1.16,48,70,42,186,205,1.28,254,1.59,-49,42.50,23.75,33.75,1.61,34,19,27,129,120,1.50,96,1.20,24,17.50,63.75,18.75,0.71,14,51,15,57,85,1.06,158,1.98,-73,https://fm-base.co.uk/resources/6453/download?file=588739,Are you ben,5-2-1-2 cut through the center,5-2-1-2,22.4.1,18 May 2022
490,https://beta.fm-base.co.uk/tactics/22.4.1/chl-winning-5-2-3-defensive-powerhouse-578759-6078,31.25,46.88,21.88,1.16,50,75,35,185,240,1.50,316,1.98,-76,45.00,28.75,26.25,1.61,36,23,21,129,153,1.91,122,1.52,31,17.50,65.00,17.50,0.70,14,52,14,56,87,1.09,194,2.42,-107,https://fm-base.co.uk/resources/6078/download?file=578759,Glahntheman,CHL winning 5-2-3 Defensive powerhouse,5-2-2-1,22.4.1,1 February 2022
491,https://beta.fm-base.co.uk/tactics/22.4.1/simone-inzaghi-tactic-masterclass-577712-6059,30.00,45.00,25.00,1.15,48,72,40,184,181,1.13,249,1.56,-68,40.00,36.25,23.75,1.44,32,29,19,115,97,1.21,93,1.16,4,20.00,53.75,26.25,0.86,16,43,21,69,84,1.05,156,1.95,-72,https://fm-base.co.uk/resources/6059/download?file=577712,themaiden83,Simone Inzaghi Tactic Masterclass,5-1-2-2,22.4.1,24 January 2022
492,https://beta.fm-base.co.uk/tactics/22.4.1/recreating-west-ham-united-2021-22-tactic-572045-5943,30.00,46.88,23.13,1.13,48,75,37,181,192,1.20,265,1.66,-73,33.75,36.25,30.00,1.31,27,29,24,105,111,1.39,108,1.35,3,26.25,57.50,16.25,0.95,21,46,13,76,81,1.01,157,1.96,-76,https://fm-base.co.uk/resources/5943/download?file=572045,Fat Sam,Recreating West Ham United 2021-22 tactic,4-2-3-1,22.4.1,24 December 2021
493,https://beta.fm-base.co.uk/tactics/22.4.1/4-5-1-581704-6140,29.38,45.63,25.00,1.13,47,73,40,181,217,1.36,265,1.66,-48,35.00,38.75,26.25,1.31,28,31,21,105,109,1.36,106,1.32,3,23.75,52.50,23.75,0.95,19,42,19,76,108,1.35,159,1.99,-51,https://fm-base.co.uk/resources/6140/download?file=581704,emildeu7,4-5-1,4-5-1,22.4.1,24 February 2022
494,https://beta.fm-base.co.uk/tactics/22.4.1/my-roma-tactic-588139-6411,28.75,46.88,24.38,1.11,46,75,39,177,246,1.54,322,2.01,-76,38.75,35.00,26.25,1.43,31,28,21,114,146,1.82,128,1.60,18,18.75,58.75,22.50,0.79,15,47,18,63,100,1.25,194,2.42,-94,https://fm-base.co.uk/resources/6411/download?file=588139,Mam3n,My Roma Tactic,4-2-3-1,22.4.1,18 May 2022
495,https://beta.fm-base.co.uk/tactics/22.4.1/newport-tikitaka-590047-6528,30.63,50.63,18.75,1.11,49,81,30,177,201,1.26,291,1.82,-90,38.75,37.50,23.75,1.40,31,30,19,112,112,1.40,117,1.46,-5,22.50,63.75,13.75,0.81,18,51,11,65,89,1.11,174,2.17,-85,https://fm-base.co.uk/resources/6528/download?file=590047,iBeTheTrashman,Newport TikiTaka,4-1-2-2-1,22.4.1,31 May 2022
496,https://beta.fm-base.co.uk/tactics/22.4.1/chicken-wing-587226-6360,29.38,49.38,21.25,1.09,47,79,34,175,166,1.04,244,1.52,-78,41.25,35.00,23.75,1.48,33,28,19,118,97,1.21,93,1.16,4,17.50,63.75,18.75,0.71,14,51,15,57,69,0.86,151,1.89,-82,https://fm-base.co.uk/resources/6360/download?file=587226,Ali_Mando,Chicken wing,4-1-2-2-1,22.4.1,18 May 2022
497,https://beta.fm-base.co.uk/tactics/22.4.1/4-1-3-2-narrow-underdog-cl-finalist-583002-6173,28.13,47.50,24.38,1.09,45,76,39,174,213,1.33,280,1.75,-67,32.50,35.00,32.50,1.30,26,28,26,104,128,1.60,123,1.54,5,23.75,60.00,16.25,0.88,19,48,13,70,85,1.06,157,1.96,-72,https://fm-base.co.uk/resources/6173/download?file=583002,Jurigag,4-1-3-2 narrow underdog CL Finalist,4-1-3-1-1,22.4.1,15 March 2022
